Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;55663;1;55663
2;8683;1;8683
3;9395;1;9395
4;10799;1;10799
5;8832;1;8832
6;9363;1;9363
7;8050;1;8050
8;8018;1;8018
9;7954;1;7954
10;8021;1;8021
