Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;12170406;100000;121,0
2;10899552;100000;108,0
3;11216477;100000;112,0
4;10826023;100000;108,0
5;11386005;100000;113,0
6;10667092;100000;106,0
7;10436517;100000;104,0
8;11394487;100000;113,0
9;10016849;100000;100,0
10;10037611;100000;100,0
