Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;404894;6;67482,0
2;264725;6;44120,0
3;235412;6;39235,0
4;163293;6;27215,0
5;132066;6;22011,0
6;143827;6;23971,0
7;168390;6;28065,0
8;145502;6;24250,0
9;169508;6;28251,0
10;164184;6;27364,0
