Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;64471;1;64471,0
2;65923;1;65923,0
3;47590;1;47590,0
4;12411;1;12411,0
5;15567;1;15567,0
6;16058;1;16058,0
7;24500;1;24500,0
8;25283;1;25283,0
9;27228;1;27228,0
10;20150;1;20150,0
