Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;105368;1000;105,0
2;154010;1000;154,0
3;121549;1000;121,0
4;200346;1000;200,0
5;78468;1000;78,0
6;139681;1000;139,0
7;187855;1000;187,0
8;110744;1000;110,0
9;116960;1000;116,0
10;81350;1000;81,0
