Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;354080;9999;35,0
2;386016;9999;38,0
3;309922;9999;30,0
4;292000;9999;29,0
5;335927;9999;33,0
6;322449;9999;32,0
7;289981;9999;29,0
8;291773;9999;29,0
9;294727;9999;29,0
10;285793;9999;28,0
