Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;1109965;1;1109965,0
2;1070044;1;1070044,0
3;937271;1;937271,0
4;959788;1;959788,0
5;1061222;1;1061222,0
6;1015519;1;1015519,0
7;987179;1;987179,0
8;927694;1;927694,0
9;918430;1;918430,0
10;1017836;1;1017836,0
