Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;1228952;100;12289,0
2;1353196;100;13531,0
3;1336952;100;13369,0
4;1272510;100;12725,0
5;1271226;100;12712,0
6;1246369;100;12463,0
7;1292282;100;12922,0
8;1267674;100;12676,0
9;1402741;100;14027,0
10;1255634;100;12556,0
