Problem_Size;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
10000;401398,7;6;66899,78333333334
100000;3458479,2;6;576413,2000000001
1000000;3,27822112E7;6;5463701,866666666
