Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;64173;1;64173,0
2;65599;1;65599,0
3;71004;1;71004,0
4;81460;1;81460,0
5;75395;1;75395,0
6;68385;1;68385,0
7;64422;1;64422,0
8;65225;1;65225,0
9;64386;1;64386,0
10;78342;1;78342,0
