Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;1115323;2;557661,0
2;1121741;2;560870,0
3;1135711;2;567855,0
4;989729;2;494864,0
5;685159;2;342579,0
6;886383;2;443191,0
7;1147561;2;573780,0
8;1031455;2;515727,0
9;599348;2;299674,0
10;612710;2;306355,0
