Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;3510598;1000;3510,0
2;3528056;1000;3528,0
3;3627754;1000;3627,0
4;3418801;1000;3418,0
5;3512103;1000;3512,0
6;3399374;1000;3399,0
7;3414728;1000;3414,0
8;3353342;1000;3353,0
9;3388629;1000;3388,0
10;3628078;1000;3628,0
