Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;656;1;656,0
2;683;1;683,0
3;878;1;878,0
4;594;1;594,0
5;644;1;644,0
6;545;1;545,0
7;940;1;940,0
8;628;1;628,0
9;626;1;626,0
10;615;1;615,0
