Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;1063516;3;354505,0
2;1116490;3;372163,0
3;1058334;3;352778,0
4;1019940;3;339980,0
5;1008469;3;336156,0
6;1023957;3;341319,0
7;1015116;3;338372,0
8;1005661;3;335220,0
9;1022137;3;340712,0
10;1028084;3;342694,0
