Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;1072322;1;1072322,0
2;917881;1;917881,0
3;1254299;1;1254299,0
4;991137;1;991137,0
5;821281;1;821281,0
6;887871;1;887871,0
7;902662;1;902662,0
8;814054;1;814054,0
9;833161;1;833161,0
10;866213;1;866213,0
