Problem_Size;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
10000;2,17894469E7;2770;7866,22631768953
100000;2,448889227E8;3214;76194,43767890478
1000000;2,443812811E9;3195;764886,6388106416
