Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;134144;1;134144,0
2;156914;1;156914,0
3;237901;1;237901,0
4;166887;1;166887,0
5;342874;1;342874,0
6;233077;1;233077,0
7;186169;1;186169,0
8;189504;1;189504,0
9;180985;1;180985,0
10;142725;1;142725,0
