Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;379646;8548;44,0
2;496100;8548;58,0
3;468387;8548;54,0
4;448622;8548;52,0
5;436384;8548;51,0
6;414123;8548;48,0
7;434955;8548;50,0
8;460030;8548;53,0
9;377681;8548;44,0
10;411546;8548;48,0
