Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;3760506;10;376050,0
2;3749457;10;374945,0
3;3651446;10;365144,0
4;3676737;10;367673,0
5;3808398;10;380839,0
6;3906371;10;390637,0
7;3647349;10;364734,0
8;3633091;10;363309,0
9;3644868;10;364486,0
10;3652366;10;365236,0
