Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;13267;1;13267,0
2;29930;1;29930,0
3;22633;1;22633,0
4;16964;1;16964,0
5;31270;1;31270,0
6;13909;1;13909,0
7;21839;1;21839,0
8;16118;1;16118,0
9;26885;1;26885,0
10;32496;1;32496,0
