Problem_Size;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
10000;8,450854538E8;419;2016910,3909307874
100000;8,3027797264E9;419;1,981570340429594E7
1000000;8,2365342011E10;419;1,965759952529833E8
