Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;1573789;1000;1573,0
2;1642183;1000;1642,0
3;1554469;1000;1554,0
4;1535279;1000;1535,0
5;1515733;1000;1515,0
6;1569387;1000;1569,0
7;1535680;1000;1535,0
8;1574233;1000;1574,0
9;1550365;1000;1550,0
10;1553144;1000;1553,0
