Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;12469;1;12469,0
2;10040;1;10040,0
3;8395;1;8395,0
4;8325;1;8325,0
5;13264;1;13264,0
6;8272;1;8272,0
7;8326;1;8326,0
8;10589;1;10589,0
9;11755;1;11755,0
10;12061;1;12061,0
