Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;197827;19;10411,0
2;215438;19;11338,0
3;247528;19;13027,0
4;276528;19;14554,0
5;267626;19;14085,0
6;257893;19;13573,0
7;244722;19;12880,0
8;218967;19;11524,0
9;216661;19;11403,0
10;216330;19;11385,0
