Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;275077;1;275077,0
2;237522;1;237522,0
3;248807;1;248807,0
4;291301;1;291301,0
5;315074;1;315074,0
6;276952;1;276952,0
7;239622;1;239622,0
8;274304;1;274304,0
9;404067;1;404067,0
10;255228;1;255228,0
